,title,pos_text,neg_text,ratingValue,bestRating
5,"Хороший готель, якщо буду в Одесі ще раз то постараюся заночувати в ньому","Дуже хороше розміщення, а також парковка. Зручний балкон ( щоправда вид з нього не дуже хороший, бо там внутрішній дворик). Доволі приємний персонал.","Були якісь плямки на покривалі, а також на деяких з рушників. Не надто якісно була вимита ванна кімната. Один з шампунів був у відкритій упаковці. Також не сподобалося що приходила покоївка замінювати рушники у мою відсутність ( я залишався на додаткову ніч).",9.2,10.0
6,Розташування чудове.,"Розташування чудове. Тепло, не шумно. Є чай в номері, вода з кулера на загальному коридорі.","Не було вказаного в описі балкону і було двоспальне, замість двох окремих. Персонал сказав, що я десь галочок при бронюванні не доставила. Хоча в мене в бронюванні чітко вказано два окремих.,",8.3,10.0
7,Успішний бізнес роблять люди!,"Найбільше мені сподобалось відношення Адміністратора до мене як до гості. Він мені показав, де можна поїсти ввечері, провів і розказав детально про всі зручності в кімнаті, зранку визвав таксі і не залишав мене, поки я не сіла в  машину. Бізнес тримається на людях. Саме через такі жести хочеться рекомендувати готель і повертатись туди знову. Дякую! Так тримати!","Можна встановити на вікна жалюзі, які захищатимуть від шуму і світла з вулиці вночі. Греческая - це центр міста і там є такі особливості.",10.0,10.0
8,"Згалом все сподобалось, затишне місце, вікна виходять у двір з місцевим колоритом.","Місце розташування готелю в центрі міста. Помірна ціна, номер з євроремонтом.","У номері відсутні фен, цукор та сіль, а також дуже малий телевізор (екран 21 дюйм).",8.3,10.0
9,Майже авсе було добре.,Все сподобалось. Особливо ціна і те що в номері е все потрібне. Паркінг.,Пішов повечеряти в 20.00. Коли прийшов двері були зачинені і охоронця на місці небуло. Прийшлось грюкати і дзвонити хвилин 20. Неприемна ситуація.,9.6,10.0
10,Гарне місце в Одесі!,Все сподобалось!!!! Дякую за гостинність!!! Гарне місце! Рекомендую!,Мале ліжко в номері,9.6,10.0
11,Задоволений!!,"Чудове місцерозташування. Місце для паркування, супер персонал. Балкон в справжій одеський дворик. Дякую за настрій!",,10.0,10.0
12,Приємна у спілкуванні дівчина-адміністратор. Необхідне покращення організація роботи решти персоналу,Чистий та комфортний номер.,Виникли додаткові питання з реєстрацією раннього заїзду.,6.3,10.0
13,Все супер,Розташування,Все ок,10.0,10.0
14,"Привітний персонал , чистий номер , зручне місцерозташування)","Привітний персонал , чистий номер , зручне місцерозташування)",,10.0,10.0
15,Співвідношення ціна\якість - дуже приємна.,"Ідеальне розташування - самий центр міста. В готелі чисто, зручне ліжко, охайна біла білизна. В моєму номері приємним бонусом був балкон))",,10.0,10.0
16,Всім рекомендую,Відмінне розташування,Трохи незручні подушки (зависокі),10.0,10.0
17,"Гарне розташування, охорона, дуже чистенько","Дуже хороше розташування, в самому центрі",,9.6,10.0
18,Гарний номер.,"Гарний номер. 
Розташований готель у центрі.",В номері не було питної води.  Вода була у коридорі,8.8,10.0
19,хороший варіант для відрядження,"- в номері є чайник, чай, кава, в коридорі кулер з водою - чулове розташування",,8.8,10.0
20,Зупиняюсь тут уже вдруге!,"Зупиняюсь тут уже вдруге!! Все подобається! Помешкання в центрі міста практично, персонал привітний та милий! Все супер",,9.2,10.0
21,Все було чудово і чисто!,Все було чудово і чисто!персонал привітний!,Замовляла номер з двома одно спальними ліжками посилили з одним  двоспальним ліжком!,7.9,10.0
22,Нам все сподобалось.,Нам все сподобалось.Номер чистий і просторий.,,10.0,10.0
23,Комфортно та привітно!,"Привітний персонал, люб’язно зустріли та допомогли розташуватись) приємно здивувала наявність холодильника, чайника та набір посуду)",Все сподобалось!,8.8,10.0
24,Велика та дуже чиста кімната.,"Велика та дуже чиста кімната. Окрема зона для чаювання та сніданку, з чайником та всім необхідним посудом.",,8.8,10.0
25,Все сподобалось!,Все сподобалось! Було тепло і затишно. Дуже потішив столик для чаювання на балконі,,10.0,10.0
26,"Чудова душова, якісні меблі, крісло розкладається в...","Чудова душова, якісні меблі, крісло розкладається в повноцінне ліжко, цікавий інтер'єр та вишукане оздоблення. Привітний та уважний персонал. Приємно вражений.",Вікна приходилось закривати через постійний шум на вулиці.,9.2,10.0
27,Новий готель.,"Новий готель. Зручне місце розташування. Красивий інтер'єр. В номері чисто, затишно. В ванній кімнаті  необхідні косметичні засоби. Особливо привітний персонал.","Здивувала відсутність вивіски, що ускладнило пошук готелю. Не у всіх номерах є балкони. Матрац на двоспальному ліжку не одинарний,доводилось весь час його зсувати.",8.3,10.0
28,Зручне місцерозташування.,Зручне місцерозташування. Привітний персонал,З відкритими вікнами трохи шумна вулиця.,9.6,10.0
29,"Приємний, доброзичливий персонал.","Приємний, доброзичливий персонал. Чистота. Відмінне розташування. Рекомендую.",,9.2,10.0
0,"Чудовий готель на самому березі моря, більше б віднесла М1...","Чудовий готель на самому березі моря, більше б віднесла М1 до категорії бутік-готель. Приємний персонал, всюди відчувається затишок та комфорт, сніданки на будь-яку дієту та смак 🤫","Діюча будова сусіднього будинку, яка прямо нависає над зоною басейну і псує весь вигляд та затишок. Але це явище тимчасове, думаю, до наступного літа вже все буде закінчено.",9.2,10.0
1,Для нас це був третій раз в готелі.,"Для нас це був третій раз в готелі.
Продовжуємо знову вибирати м1 бо не бачимо альтернативу для себе. Так щоб на морі, щоб гарно і без скупчення людей. 
Мені дуже подобається м1 за  контакт з морем, ідеальні світанки, локація поруч з тропою здоров'я і центром. За кілька днів я повністю перезавантажують тут. 
Раджу номери з видом на море.
Дуже приємним бонусом було що нас переселили з стандартного номеру в делюкс. Наш романтичний вікенд вдався краще ніж можна було очікувати. 
Впевнена що це краще місце в Одесі для відпочинку на морі.",Сусідній Немо добудовує нове крило. Псує естетику і трохи шумить,10.0,10.0
2,"Місце, де можна сховатися від всіх мінусів міста","Ідеальний рівень обслуговування, надзвичайний сніданок, гарний вид з балкону, чисто і гарно.
Окремо дякую менеджеру Софії, яка зробила моє перебування в цьому готелі ще комфортнішим :)","Ціни в ресторані, як на мене, дещо завищені, при співвідношенні ціна-якість",9.2,10.0
3,"Гарний вид з номера, але дуже не зручні ліжка і подушки.",Привітання з Днем народження від готелю.,"Подушки в номері дуже маленького розміру, від лежання на них дуже болить штя. Ліжко скрипить. матрас провалюється, ми з чоловіком, коли хотіли обійнятись опинялися в одній ямі.",6.7,10.0
4,Готель на березі моря з шикарним видом,"Чудовий сніданок (краще, ніж в Редіссоні в Буковелі), хороший номер, прекрасний персонал, є парковка, відмінне розташування. Раджу брати номер з видом на море, він вартує своїх грошей.",,10.0,10.0
5,Очікування від готелю цілком виправдались.,"Очікування від готелю цілком виправдались. Дуже приємний персонал, якій якісно виконує свою роботу. Чистий просторий номер, дуже хороший сніданок, вибір страв для людей, котрі до римуються правил здорового харчування.","Номер з видом на парк в реальності - з видом на паркан будівництва, до парка - метрів 500 підйому по досить крутому схилу.",9.6,10.0
6,"Сніданок був неймовірний, офіціанти ввічливі й завжди готові...","Сніданок був неймовірний, офіціанти ввічливі й завжди готові допопмогти. Тераса в номері шикарна й вид на море просто космічний- дуже файно повалятись на кушетці з таким прекрасним видом.  ПОвечеряли в ресторані на верхньому поверсі- все дуже смачно. Замовляли сауну- вона також чудова, не пожалкували.",,9.6,10.0
7,Чодове розміщення влітку перекриває усі недоліки.,Сніданок збалансований для всіх категорій людей.,"Килимове покриття на сходинковому марші було добряче забруднене.  На ґанку, при виході із ресторану до пляжу щоранку капала водана голову. При цему сходинкавий марш був вологий і слизький, що могло бути причиною нещасного випадку. Зона відпочинку із шезлонгами погано прибиралась і виглядала пошарпаною.",7.9,10.0
8,Відмінний вид на море.,"Відмінний вид на море. Напевне неайкраще місце в Одесі. Без шуму, метушні. Гарно все і готель і вид з номерів.навіть кількох днів достатньо щоб відпочити і перезавантажитися",Все чудово,10.0,10.0
9,Ще довго будемо під враженням від перебування у вас.,"Ще довго будемо під враженням від перебування у вас. Дякую за допомогу в організації моєї пропозиціі руки та серця. Все на найвищому рівні. Чистота, дизайн, нереально гарні номери, вигляд на море це просто😍, басейн, сніданки! Дуже привітний персонал. Це найкращий готель у якому нам доводилось перебувати. Обов‘язково завітаємо ще. Ціна абсолютно відповідає якості.",,10.0,10.0
10,Все,Все,,10.0,10.0
11,Все чудово!,Все чудово! Ціна відповідає якості!,Слабким місцем цього готелю виявився телевізор,10.0,10.0
12,М1 відпочинок на 9 травня ,"Чистота готелю, привітність персоналу, різноманітний сніданок ! Все на найвищому рівні",такого не було,9.6,10.0
13,Усе було на найвищому рівні!,Однозначно один  з найкращих готелів Одеси!,,9.6,10.0
14,Хороший готель але не більше,"Сніданок, персонал",Басейн з підігрівом,8.3,10.0
15,"Дизайн, місце, сервіс","Дизайн, місце, сервіс",Все сподобалося,9.6,10.0
16,"Задоволений, по можливості завітаю ще.","Інтер'єр, розташування, персонал.",,9.2,10.0
17,"Сучасний дизайн, продумано все до дрібниць, прекрасне...","Сучасний дизайн, продумано все до дрібниць, прекрасне місцерозташування, чудовий вид з вікна, прекрасний сніданок. Ще не все працює, так як недавно відкрилися. Хочеться повернутися знову!",,10.0,10.0
18,Все на найвищому рівні.,Все на найвищому рівні.,"таке відчуття, що скоро ціна зросте. сподіваюсь, що не скоро))",10.0,10.0
0,Чудово,"Чудове розташування в Аркадії, море близько, місце тихе, як у приватному секторі,","Всі труднощі які були, персонал чудово все вирішив, ніяких претензій.",9.6,10.0
1,Готель вартий уваги! При можливості відвідаю його ще раз. В першу чергу через зручне розташування.,"Просторий, лаконічний номер. Балкон з хорошим виглядом. Зручне ліжко і гарна, чиста  постіль. В номері є холодильник. Приємно, що адміністрація дозволила нічний заїзд в готель (4:00) і розміщення додаткового гостя в номері. Вулиця, на якій розміщено готель, дуже чиста, відносно тиха та спокійна, перехожих на вулиці майже нема (житловий квартал). Дуже близько до пляжу Аркадія (5 хв. пішки).","Готель огороджений 3-метровим кам'яним парканом. Центральний вхід схожий на чорний вхід і здається, що не з тієї сторони зайшли до готелю. Хочеться хоча б додаткову вивіску перед дверима. Також в меню до сніданків зазначено аж 6 варіантів, а в дійсності є всього один стандартний комплект. Було б добре, щоб меню відповідало дійсності, якщо один варіант сніданку, то один. Із побажань - маленький електричний чайник в номері, дуже бракувало.",8.3,10.0
2,Все дуже сподобадось.,Все дуже сподобадось. Особливо наявніть безкоштовної парковки на закритій території готелю.,,10.0,10.0
3,Чудове місце для відпочинку на пляжах Аркадії.,"Чудове місце для відпочинку на пляжах Аркадії.
Гарний сервіс, ситні сніданки",,10.0,10.0
4,"Хороше співідношення ціна-якість, близько до моря.","Хороше співідношення ціна-якість, близько до моря.",Нема сніданків,8.8,10.0
5,"Гарне розташування, недалеко до моря, ресторанів, магазину.","Гарне розташування, недалеко до моря, ресторанів, магазину.
Привітний адміністратор.
В номері чисто. Отель сподобався)",,9.6,10.0
6,Дуже привітний персонал і чистота в номері та самому готелі.,Дуже привітний персонал і чистота в номері та самому готелі.,"Підігрів підлоги не на 100% якісний, але то не критично, якщо відпочивати літом",10.0,10.0
7,"Раджу тим, хто вперше їде в Аркадію.","Ліжка були найзручніші з усіх, що я бачив у готелях.",,9.6,10.0
8,"Сніданки, обслуговування, чистота, якість сантехніки, меблів","Сніданки, обслуговування, чистота, якість сантехніки, меблів",Відсутність чайника в номері,10.0,10.0
0,"Чудовий персонал, зручне розташування (біля сходів) та...","Чудовий персонал, зручне розташування (біля сходів) та приємні ціни. Є маленька кухня, але тільки з чайником. Білизна та рушники чисті. Очікував гірше, якщо чесно, але був приємно здивований. Рекомендую!","Двомісних ліжок немає. Можуть здвинути два одинарних абощо. Словом, матраци буде два, що не дуже комфортно для пар (принаймні в нас в номері так було). Але для такої ціни це пусте! Ще не дуже зручно, що рецепція в іншому приміщенні. Мені байдуже почекати 2-3 хвилини доки прийдуть, але нетерплячий турист засмутиться)",9.6,10.0
1,"Хостел у тихому дворі, кімната чиста, звукоізоляція класна.","Хостел у тихому дворі, кімната чиста, звукоізоляція класна.  Персонал привітний, допоміг з речами. В хостелі чотири окремих кімнати, люди жили, але з ними якось навіть і не перетинаєшся, повна приватність. Поряд чудове кафе, де приємно снідати.",,10.0,10.0
2,Чудове місцерозташування: хостел знаходиться в декількох...,"Чудове місцерозташування: хостел знаходиться в декількох хвилинах від Тьощиного мосту, Воронцовського палацу, пам‘ятнику Дюку, Потьомкінських сходів та морського порту. Щоб дістатися Дерибасівської потрібно всього хв 10 пішої прогулянки","Неподалік хостелу є нічний клуб, тому вночі в номері чути музику",9.2,10.0
3,"як для Одеси, то добре",Номер та місця загального користування дуже чисті. Кімната світла і зручна. Чудове розташування - 5 хвилин від Потьомкінських сходів.,"Не можна було оплатити на місці. Отель вимагав передплату в обхід Booking.com.  Складна процедура заїзду, було важко додзвонитися до адміністратора. В отелі через несплату вимкнули інтернет і я залишилася без wi-fi, коли він мені був потрібен.",7.1,10.0
4,"Хостел невеликий, але дуже затишний і витриманий в одному...","Хостел невеликий, але дуже затишний і витриманий в одному стилі. В номері є вентилятор. Дуже сподобались просторі підвіконники з подушками. І килимове покриття - ванлав. Оскільки хостел новий відносно, все ще гарне і невбите попередніми відвідувачами. А ще приємно, що тут діє знижка Genius. Обов'язково повернусь сюди.",,10.0,10.0
5,"Неймовірно зручне ліжко, затишний дворик, поруч з оперним, ...","Неймовірно зручне ліжко, затишний дворик, поруч з оперним,  гарна атмосфера, відмінна звукоізоляція.","Брудні рушники, відсутність кухні, немає постійного адміністратора у будинку, де двохмісні номери.",7.5,10.0
6,"хостел загалом виглядає новим, все досить в збереженому...","хостел загалом виглядає новим, все досить в збереженому стані, малі але функціональні душові і туалети","двоспальних ліжок немає впринципі, є такі ліжка які зєднуються, і їх подають у вигляді двоспального ліжка. Дуже низька стеля, відповідно температура і клімат в номері зашкалює, немає кондиціонера",6.3,10.0
7,Ідеальне розташування хостелу.,Ідеальне розташування хостелу. Тиша.,"Постіль була чистою, але жахливо пахнула.
Для того щоб скористатися теплою водою, потрібно чекати 5 хвилин",8.3,10.0
8,Чистота вражає👍🏻👍🏻👍🏻😊😊,Чистота вражає👍🏻👍🏻👍🏻😊😊,,10.0,10.0
9,"Все сподобалось, тільки сусіди попались, що курили в кімнаті.",,"Все сподобалось, тільки сусіди попались, що курили в кімнаті.",9.2,10.0
10,Місце розташування!,Місце розташування!,"Не хватало комоду,або не виликого шкафчика чи тумбочок!
І не могли відкрити вікно через датчик!",9.6,10.0
11,"Розташування, ціна,комфорт, привітність персоналу.","Розташування, ціна,комфорт, привітність персоналу.",,10.0,10.0
12,"Дуже чисто, акуратно.","Дуже чисто, акуратно. Розташовано справді в центрі. Привітна адміністратор.",,10.0,10.0
13,Дуже зручні ліжка.,"Дуже зручні ліжка. Є ел. чайник, чашки, кава, цукор в номері. Затишно і чисто. Близько до центру",,7.9,10.0
14,"Чисто, комфортно, привітні люди )","Чисто, комфортно, привітні люди )","Не було на той момент праски, тому уточнюйте щодо цього",8.8,10.0
15,Чудовий хостел в самому серці Одеси.,Чудовий хостел в самому серці Одеси. За 5 вул. Дерибасівська. Кімнати з новим приємним ремонтом та ввічливим персоналом. Всім рекомендуємо!,,10.0,10.0
0,"В цілому готель супер, відпочинок сподобався.","Номера, чистота, персонал.","Єдине, що не сподобалось, це сніданок. Вибір, м’яко кажучі не який. Але вважаючи те, що ми в Одесі і в цьому сенсі проблема була вирішена поїздками по кафе і ресторанах.",10.0,10.0
1,"Відмінна чистота, сервіс на високому рівні.","Відмінна чистота, сервіс на високому рівні.",Відсутність пляжу,9.6,10.0
2,жахливий Wi-Fi з певними обмеженнями які повністю нівелюють...,,жахливий Wi-Fi з певними обмеженнями які повністю нівелюють враження від готелю,9.2,10.0
0,Романтично і атмосферно,"Море за кілька кроків - найголовніша перевага готелю! Пожити, нехай навіть день, у такій близькості до моря - це прекрасно. Персонал уважний, готовий допомогти в будь-яку хвилину. Сніданки смачні і ситні, з вишуканою подачею.",,9.2,10.0
1,"Все добре, крім музики з ресторану. Заважає відпочивати на пляжі і неможливо заснути.","Чистий готель, з вікон видно море. Смачні ситні сніданки.","Валила музика весь день, неможливо було відпочити на пляжі. Вночі музика грала пізніше 22, хоча обіцяли в 22 її вимкнути.",7.9,10.0
2,Реальність перевершила очікування,"Ідеальне розташування на самому березі моря, розкішний краєвид, красивий та затишний номер, привітний персонал. Окремо хочу відмітити сніданки: великий вибір та величезні порції. Надзвичайно зручно, що біля готелю є хороший ресторан і страви можна замовляти прямо в номер. Радо залишатимусь тут при наступних поїздках в Одесу.","Було б чудово, якби в номері був чайник і мінімальний набір чаю. Біля моря легко замерзнути, а замовляти весь час чай з ресторану не дуже зручно.",10.0,10.0
3,"Шикарне розположення готелю, біля самого моря.","Шикарне розположення готелю, біля самого моря. Це найбільше нам подобається у цьому готелі. Також спробували зимою сауну, розігріваєшься і зразу в море, неймовірно!",,9.2,10.0
4,"Прекрасне розташування, персонал ввічливий , пішли нам на...","Прекрасне розташування, персонал ввічливий , пішли нам на зустріч зробили зазделегідь ранній заїзд та пізній виїзд, сніданки багаті своїм різноманіття ))) Дякуємо",,10.0,10.0
5,Місцерозташування,Місцерозташування,"Сервіс. В момент від’їзду мені оголосили, що номер не оплплвчено, хоча бронювання відбувалось зі 100% передоплатою, гроші з картки зняті, про що переконалась до заїзду телефоном та маю виписку банку. Виявилось, що кошти заброньовані (для мене недоступні), втім, готель знімає ще раз гроші зі словами «розбирайтесь зі своїм банком». Все: ні «вибачте», ні «чекайте зараз з’ясуємо». Себто, отель двічі забрав гроші. Так, це не останні, так, я з банком з’ясувала і вони почали процедуру припинення резервування, яке станеться через 5-7днів. Але сервіс отелю і його менеджерів «перевершив»  все.",2.5,10.0
6,"Сніданок перевершив наші очікування, хоча є великий перелік...","Сніданок перевершив наші очікування, хоча є великий перелік для порівняння. Додатково обід та вечеря в ресторані при готелі - це вишукані та дуже-дуже смачні як м'ясні так і рибні страви.",Закінчилося Просеко в останній день відпочинку.... :)))),9.6,10.0
7,В цілому готель дуже пристойний.,"В цілому готель дуже пристойний. На березі моря. Шикарна тераса з виглядом на море. Засинаєш під звуки хвиль. В нас був великий номер, дизайнерська ванна кімната. Найкраще - це персонал готелю. В нас було пару питань, але все було вирішено миттєво, професійно. Дуже привітні і людяні! Дуже їм вдячний.","Невдалий вибір ліжка. Пляж ок, але поряд є краще. Персоналу ресторану треба бути більше орієнтованими на клієнтів.",9.2,10.0
8,Чудові травневі вихідні!,"Чудове розташування для тих, хто хоче поєднати море з історичним центром та морськими прогулянками. Все в пішій доступності.  А море в 10 м від балкону.  Одразу біля готелю чудовий, чистий парк з облаштованими зонами відпочинку, тінистими лавочками та виділеною велосипедною доріжкою. Східна сторона дозволяє насолоджуватися ранковим сонцем, а потім перебувати цілий день в приємній тіні власного балкону-тераси, якщо ви не любите жаритися на сонці. Хороше обслуговування номерів. Дуже чудовий ресторан з можливістю замовлення в номер, що дуже зручно в погану погоду, коли йде сильний дощ, або хочеться романтичного сніданку - ти і море). В ресторані на веранді дуже зручно в жару так, як там приємна прохолода. Єдине - в зв""язку з тим, що ресторан ""Веранда"" популярний в місцевих жителів, ввечері та у вихідні дні потрібно наперед замовляти бажані столики так, як місць в потрібний вам час може не бути. Ресторан також обслуговує вас на пляжі і може вам до шезлонгу принести хоч цілий обід з першим та другим, а не тільки барний асортимент. Офіціантів багато і працюють вони дуже добре. Це дуже приємна опція)). Пляж також обслуговують гарно: персональні парасольки, чотири різновиди шезлонгів на різний смак, які для всіх гостей готелю безкоштовні. Пляж також щоденно прибирають. Є дитячий майданчик, який зовсім не заважає тим, хто проживає в готелі. Неподалік розташований готель ""Немо"" з дельфінарієм куди можна сходити на виставу а також полюбуватися чи поплавати з цими чудовими морськими тваринками. Також можна за плату користуватися їхніми басейнами - хто це любить. Приємним бонусом було те, що готель на першому поверсі зробив вікна, що відкриваються на провітрювання, що дозволяє спати під постійний шум моря). А також, що в готелі є парасольки для тих хто їх не взяв із собою і не може вийти з готелю в дощ).","Жорсткий режим поселення та виселення, без можливості безоплатного пізнього чи раннього виїзду/заїзду, та дуже висока та не гнучка плата за таку послугу - не менше 50% від проживання за добу. Щоправда є безкоштовне зберігання речей, що дещо компенсує цю незручність так, як більшість поїздів дуже ранкові, або вечірні.  Також так, як пляж перед готелем міський, а не готельний то у жаркі вихідні дні було дуже багато людей в притул до балкону, тому під балконами потрібно добавити більшу кількість квіткових горщиків, які б відділяли відпочиваючих.",9.6,10.0
9,Сучасний готель на самісінькому березі моря.Дуже смачна кухня,"Готель на березі моря.Хвилі майже біля вашого вікна.Сучасний інтер'єр кімнати,підлога з підігрівом.Все що потрібно для релаксу.Велика ,але не дуже охайна ванна кімната.Великий зрічний балкон для відпочинку з кріслами","Пляма іржі на плитці душової кабінки,неприємний запах з вентеляційної .Відсутня вода в кімнатах(пляшкова),треба самому ходити до кулера.Прохання адміністрації подбати про свою відповідність зірковості.",8.3,10.0
10,Ми задоволені!,Готель на березі моря. Дуже гарний вигляд з вікна. Комфортний номер. Все чисто та акуратно. Можна попросити сніданок у номер. Ми дуже задоволені. Рекомендую.,"Двоспальне ліжко по факту є двома ліжками з двома матрацами. Лише на ранок побачив, що один фіксатор кріплення ліжок між собою відчепився. І ліжка дещо роз'їхалися в ногах. І утворилася невелика щілина між матрацами. Треба краще закріпити фіксатор і все ок.",10.0,10.0
11,Рекомендую!,"Готель супер! Чистота та ввічливість персоналу - відмінно! В номері є все необхідне. А вид з вікна - це щось неймовірне! Сніданок теж дуже сподобався: і смачно і вид з ресторану незабутній! Також можна замовити страви у номер, самі протестували - швидке обслуговування та дуже смачно. Рекомендую і ресторан і готель! :)",,10.0,10.0
12,"Чудовий невеликий готель просто на пляжі, майже в центрі Одеси.","Чудове розташування просто на пляжі, приємна архітектура та дизайн. Бездоганна чистота в номері та гідна (як на мій смак) кухня в ресторані «Веранда» при готелі. Персонал не привітний, як люблять писати у відгуках, він непомітний і не викликає до себе питань (брудно, зимно, чогось не вистачає, тощо), і це чудово.","Пропоную заборонити паління не лише в номерах, а й на терасах - дуже сильно задуває тютюнове амбре від сусідів при відкритому вікні.",9.2,10.0
13,"Гарний, чистий номер, привітний персонал.","Гарний, чистий номер, привітний персонал.  Поживні сніданки. У нас був ранній виїзд, сніданок нам принесли напередодні ввечері в номер. Вид з номеру просто казковий","Дизайном номерів передбачена скляна прозора душова кабіна посеред номеру, а не у відокремленому приміщенні. Це було неочікувано.",8.3,10.0
14,Затишно),"Відстань до моря - це щось неймовірне. Взимку я спала з привідчиненим вікном, щоб чути його шепіт. Двері на терасу зачиняються щільно, наявність москітних сіток. Мені дуже сподобалось, наскільки було тепло в номері та у ванній (це друге на що я звертаю увагу після чистоти). Ліжко комфортне, не було навіть болю в спині, тому я добре спала. Велика душова кабіна та зручна стільниця біля раковини. Особисто щиро хочу подякувати адміністратору, яка працювала у новорічну ніч, за розуміння і розв'язання ситуації. Це справило дуже позитивне враження про готель і людей, які у ньому працюють. Щодо ресторану - чудове місце з особливою аурою до сніданку.","Звукоізоляція, грибок у душовій, липкі плями на ручці фену (від засобів для волосся попередніх мешканців), іноді - запах каналізації, поодинокі плями на постільній білизні, дуже сірий халат, який я так і не наважилась вдягнути. Усі недоліки легко усуваються, і, проте, маю добре загальне враження про готель. Повернуся сюди, безумовно, влітку і впевнена, що моє перебування тут буде ще комфортнішим.",8.8,10.0
15,Фантастично!,"Все сподобалось Чудовий готель безпосередньо на березі моря. Сучасний дизайн, прекрасний вид з вікна, великий балкон. Включено дуже хороший сніданок. На даний момент - кращий готель в якому я був. Рекомендую!",,10.0,10.0
16,Непоганий готель для вікенду,"ідеальний вид з вікна! Професійний менеджер готелю, який налагодин всі незручності та конфлікь з ресепшионістом. Просторі кімнати і надзвичайно зручна локація","Неприємна рощмова на ресепшині, відсутність води в номері цілий день.",8.3,10.0
