Unnamed: 0,title_ru,pos_text_ru,neg_text_ru,ratingValue,bestRating,hotel,title,pos_text,neg_text
476,Все понравилось,"Останавливались в начале августа на сутки, семья с ребенком 10 лет. Отличный вариант) Хорошо отдохнули перед продолжением поездки. Рекомендую","Из минусов только временный: не работала кофе-машина в баре, надеюсь уже починили.",10.0,10.0,apartment-sunlit.uk.html,Все сподобалося,"Зупинялися на початку серпня на добу, сім&#39;я з дитиною 10 років. Відмінний варіант) Добре відпочили перед продовженням поїздки. рекомендую","З мінусів тільки тимчасовий: не працювала кава-машина в барі, сподіваюся вже полагодили."
477,Персонал был очнеь дружелюбный: у нас было позднее поселение...,"Персонал был очнеь дружелюбный: у нас было позднее поселение и выселение, все прошло без проблем. Все показали и рассказали. Удобное расположение - возле вокзала: в обоих случаях это было очень важно. В номере есть все необходимое (даже маленький холодильник). Неплохие завтраки (очнеь вкусно, но порции маловаты).","Шампунь мог бы быть в многоразовой банке, а не отдельными упаковками: это не очень экологично.",9.6,10.0,apartment-sunlit.uk.html,Персонал був очне доброзичливий: у нас був пізній поселення ...,"Персонал був очне доброзичливий: у нас був пізній поселення та виселення, все пройшло без проблем . Всі показали і розповіли . Зручне розташування - біля вокзалу: в обох випадках це було дуже важливо . У номері є все необхідне (навіть маленький холодильник). Непогані сніданки (очне смачно, але порції замалі).","Шампунь міг би бути в багаторазової банку, а не окремими упаковками: це не дуже екологічно."
478,В целом удовлетворительно,Всё удовлетворительно вполне,У меня был ранний выезд - 7-00. Выход был закрыт и дежурная спала не известно где. Пришлось ходить по гостине и разыскивать ее.,8.3,10.0,apartment-sunlit.uk.html,В цілому задовільно,Все задовільно цілком,У мене був ранній виїзд - 17-00 . Вихід був закритий і чергова спала невідомо де . Довелося ходити по вітальні і розшукувати її.
479,"Расположение хорошее, номера уютные и чистые, персонал...","Расположение хорошее, номера уютные и чистые, персонал внимательный, завтрак вкусный.","Не было горячей воды и холодной, появилось к вечеру. Но там была авария на улице, не вина отеля.",10.0,10.0,apartment-sunlit.uk.html,"Розташування хороше, номери затишні і чисті, персонал ...","Розташування хороше, номери затишні і чисті, персонал уважний, сніданок смачний.","Не було гарячої води і холодної, з&#39;явилося до вечора. Але там була аварія на вулиці, не провина готелю."
480,"Хорошо, что бы остановиться ненадолго если не мешает шум за оконом.",Большой номер и круглосуточный ресепшен. Чистый санузел. Легко добраться и есть парковка.,"Завтрак до 10 - если приехать поздно, то сложно на него успеть. Железнодорожная станция прямо напротив отеля - довольно шумно с раннего утра.",7.9,10.0,apartment-sunlit.uk.html,"Добре, що б зупинитися ненадовго якщо не заважає шум за вікон.",Великий номер і цілодобовий ресепшені . Чистий санвузол . Легко дістатися і є парковка.,"Сніданок до 10 - якщо приїхати пізно, то складно на нього встигнути. Залізнична станція прямо навпроти готелю - досить шумно з раннього ранку."
481,Очень приятное место.,"Очень приятное место.
Не ночевала. Только приняла душ. Выдаются одноразовые тапочки, шампунь, мыло.","Была в отеле всего минут 30, не нашла того, что не нравится.",10.0,10.0,apartment-sunlit.uk.html,Дуже приємне місце.,"Дуже приємне місце. Чи не ночувала. Тільки прийняла душ. Видаються одноразові тапочки, шампунь, мило.","Була в готелі всього хвилин 30, не знайшла того, що не подобається."
482,Очень удобный отель для гостей города,"Локация отличная.завтраки вкусные,но порции маленькие.персонал отзывчивый.на рецепшн девочки приветливые. Номера чистые.","Если комната выходит на автовокзал и окно открыто,то шум слышен и мешает спать.на ночь лучше закрывать окна.",9.2,10.0,apartment-sunlit.uk.html,Дуже зручний готель для гостей міста,"Локація Столичная . завтрак смачні, але порції маленькі . персонал Отчий . на ресепшн дівчинки привітні . Номери чисті.","Якщо кімната виходить на автовокзал і вікно відкрите, то шум чути і заважає спать.на ніч краще закривати вікна."
483,Рекомендую.,"Останавливались втроем в номере люкс. Бронировали исходя из местоположения, 5 минут до ж/д вокзала. Отель был нужен только для комфортного ночлега. Ожидания оправдались, могу смело рекомендовать этот вариант. Отдельное спасибо за радушие персонала. Утром мы спешили на поезд, а завтраки накрывают только с 8:00, но по нашей просьбе немного ускорили процесс, и в 8:10 мы уже вышли из отеля, насладившись отличным кофе и вкусным завтраком. Такой индивидуальный подход к клиентам в отелях очень ценю и желаю Вам процветания.",,8.3,10.0,apartment-sunlit.uk.html,Рекомендую.,"зупинялися втрьох в номері люкс . бронювали виходячи з місця розташування , 5 хвилин до ж / д вокзалу . Готель був потрібен тільки для комфортного нічлігу . Очікування виправдалися, можу сміливо рекомендувати цей варіант . Окреме спасибі за привітність персоналу . Вранці ми поспішали на поїзд, а сніданки накривають тільки з 8 : 00, але на наше прохання трохи прискорили процес, і о 8 : 10 ми вже вийшли з готелю, насолодитись відмінним кави і смачним сніданком . Такий індивідуальний підхід до клієнтів в готелях дуже ціную і бажаю Вам процвітання.",Nan
484,Хороший отель.,"Великолепное отношение персонала! За небольшие неудобства с зеркалом, нас угостили кофе с круасаном! 
Удобное месторасположение, отель находится возле ж/д вокзала, а до центра 10-15 минут ходьбы!",,9.2,10.0,apartment-sunlit.uk.html,Хороший готель.,"Чудове ставлення персоналу! За невеликі незручності з дзеркалом, нас пригостили кавою з круасани! Зручне місце розташування, готель знаходиться біля ж / д вокзалу, а до центру 10-15 хвилин ходьби!",Nan
485,Удобно,"Очень удобно для тех, кому нужно оперативно добраться на вокзал или с вокзала переночевать, принять душ. Хорошее соотношение цена-качество. Приятный персонал, чистота, банный набор и завтрак - отличные бонусы.",Будьте готовы ночью слышать с какого пути отправляется поезд ))),7.9,10.0,apartment-sunlit.uk.html,зручно,"Дуже зручно для тих, кому потрібно оперативно дістатися на вокзал або з вокзалу переночувати, прийняти душ. Гарне співвідношення ціна-якість. Приємний персонал, чистота, банний набір і сніданок - відмінні бонуси.",Будьте готові вночі чути з якого шляху відправляється потяг)))
486,нь хорошо ,"нь хорошо  · Красивый старинный камин в номере, вкусный завтрак в кафе с элементами старинных железнодорожных атрибутов, т.к. через дорогу жд вокзал. При закрытых окнах шум не мешал. Отзывчивый персонал. Обещали исправить мелкие недочеты в уборке. Рекомедую на 1-2 ночи.",,8.3,10.0,apartment-sunlit.uk.html,нь добре,"нь добре Гарний старовинний камін в номері, смачний сніданок в кафе з елементами старовинних залізничних атрибутів, тому що через дорогу ЖД вокзал . При закритих вікнах шум не заважав . чуйний персонал . Обіцяли виправити дрібні недоліки в прибиранні . рекомендую на 1-2 ночі.",Nan
487,Отлично ,"Вкусные завтраки и в целом кафешка на первом этаже, , великолепный персонал. Очень понравилась душевая , хоть она и на 3 номера,  но всегда чисто и приятно там находиться. Советую, хоть и рядом с вокзалом, поездов не слышно, спокойное место.","Днем душновато в номерах, шум машин за окнами ночью, если пользуетесь берушами не проблема)",9.2,10.0,apartment-sunlit.uk.html,відмінно,"Смачні сніданки і в цілому кафешки на першому поверсі, , чудовий персонал . Дуже сподобалася душова, хоч вона і на 3 номери, але завжди чисто і приємно там перебувати . Раджу, хоч і поруч з вокзалом, поїздів не чути, спокійне місце.","Днем дурнувато в номерах, шум машин за вікнами вночі, якщо користуєтеся Белуші не проблема )"
488,"1. Приветливый и вежливый персонал
","1. Приветливый и вежливый персонал
2. Очень чистый номер
3. Хорошая мебель, кровать с удобным матрацом, на двоих отлично подходит.
4. Удобное расположение - 3 мин. пешком от вокзала и 15 мин. к центру
5. Есть холодильник в номере и  одноразовые тапочки","1. Отсутствие фена для волос в номере
2. Всего 2 шампуня в номере на двоих на 2 дня
3. Маленький завтрак, уж очень маленький. Если оплачиваете через букинг завтрак, то будьте готовы проучить 2 сырника, сметану и чай/кофе. Или омлет или яичницу. Собственно на завтрак не тянет.
4. ПРИ ОПЛАТЕ КАРТОЙ ОНИ В СТОИМОСТЬ ВКЛЮЧАЮТ 2%, КАК НАЛОГ БАНКА. НЕ ХОТЕЛА РУГАТЬСЯ, НО ЭТО ДОЛЖЕН ОПЛАЧИВАТЬ ОТЕЛЬ. Если стоимость номера 500 грн, то вам сразу выставят стоимость 510 грн. На сайте это не указано.",8.8,10.0,apartment-sunlit.uk.html,1. Привітний і ввічливий персонал,"1. Привітний і ввічливий персонал 2. Дуже чистий номер 3. Гарні меблі, ліжко зі зручним матрацом, на двох відмінно підходить. 4. Зручне розташування - 3 хв. пішки від вокзалу і 15 хв. до центру 5. Є холодильник в номері і одноразові тапочки","1 . Відсутність фена для волосся в номері 2 . Всього 2 шампуню в номері на двох на 2 дні 3 . Маленький сніданок, вже дуже маленький . Якщо оплачуєте через Букін сніданок, то будьте готові провчити 2 сирники, сметану і чай / кава . Або омлет або яєчню . Власне на сніданок не тягне . 4 . ПРИ оплаті картою ВОНИ В вартість включають 2%, ЯК податок БАНКУ . НЕ хотіла лаятися, АЛЕ ЦЕ МАЄ оплачувати готель . Якщо вартість номера 500 грн, то вам відразу виставлять вартість 510 грн . На сайті це не вказано."
489,Я в восторге от хостела.,"Я в восторге от хостела. 
Она близко находится от автостанции и ж/д вокзала. 
Очень приятное обслуживание всегда готовое прийти на помощь. 
И особенно порадовала меня кухня, очень вкусно готовят. И отдельный плюс, что завтрак включён в стоимость и не нужно думать особенно утром где найти место что бы перекусить. 
Поэтому всем рекомендую.",,10.0,10.0,apartment-sunlit.uk.html,Я в захваті від хостелу.,"Я в захваті від хостелу. Вона близько знаходиться від автостанції і ж / д вокзалу. Дуже приємне обслуговування завжди готове прийти на допомогу. І особливо порадувала мене кухня, дуже смачно готують. І окремий плюс, що сніданок включений у вартість і не потрібно думати особливо вранці де знайти місце що б перекусити. Тому всім рекомендую.",Nan
490,Решила больше не селиться у вокзалов,"Персонал ресепшена был очень приветлив и реагировал на все просьбы. Так же женщина которая убирает номера была очень добра и напоила меня вечером чаем, когда уже бар был закрыт.","* На 4ом этаже в двухместный номер плохо добивает вай фай. Ноутбук ловит, а телефон нет. 
* Отсутствует индивидуальное освещение над каждым спальным местом. 
* Розетки за кроватью расположены неправильно, из-за чего кровать нельзя придвинуть к стене и расположиться на ней полусидя. 
* В номере сильно скрипит пол под кавролином в самом центре комнаты, это особенно мешало, когда один уже спит, а второй ещё что-то делает. 
* В ванной неприятно пахнет, плохое освещение. На второй день, кто-то украл общее мыло для рук. 
* Видеокамер на этаже нет, каждый раз выходя в туалет, приходилось закрывать номер на ключ. 
* Одна из работниц бара(темненькая) вела себя надменно.",6.7,10.0,apartment-sunlit.uk.html,Вирішила більше не селитися біля вокзалів,"Персонал ресепшені був дуже привітний і реагував на всі прохання . Так само жінка яка прибирає номера була дуже добра і напоїла мене ввечері чаєм, коли вже бар був закритий.","* На 4 ом поверсі в двомісний номер погано добиває вай Фай . Ноутбук ловить, а телефон немає . * Відсутня індивідуальне освітлення над кожним спальним місцем . * Розетки за ліжком розташовані неправильно, через що ліжко не можна наблизити до стіни і розташуватися на ній напівсироти . * У номері сильно скрипить підлога під Каролін в самому центрі кімнати, це особливо заважало, коли один уже спить, а другий ще щось робить . * У ванній неприємно пахне, погане освітлення . На другий день, хтось вкрав загальне мило для рук . * відеокамер на поверсі немає, кожен раз виходячи в туалет, доводилося закривати номер на ключ . * Одна з працівниць бару (тоненька) вела себе гордовито."
491,"Номер соответсвует фото, вкусные сырники на завтрак ","Номер соответсвует фото, вкусные сырники на завтрак","Находится напротив вокзала, я не посмотрела сразу почему-то- эффекта «выйти из отеля и сразу в исторический центр» не было, но удобно для тех, кто хочет переночевать, а не по экскурсиям ходить. Удивило, что шум поездов не мешал, почти не слышала, хотя очень чуткий сон.",7.1,10.0,apartment-sunlit.uk.html,"Номер відповідає фото, смачні сирники на сніданок","Номер відповідає фото, смачні сирники на сніданок","Знаходиться навпроти вокзалу, я не подивилася відразу чомусь то- ефекту «вийти з готелю і відразу в історичний центр» не було, але зручно для тих, хто хоче переночувати, а не по екскурсіях ходити. Здивувало, що шум поїздів не заважав, майже не чула, хоча дуже чуйний сон."
492,"нет желания попасть туда снова, попали от безысходности",завтрак нельзя заказать заранее(,"лучше проверять состояние номера, сливы, остатки вещей с прошлых посетителей, не закрывать на ночь двери у лестницы, добавить связь с рецепшеном помимо моб телефона, поставить ручки на окна на лестнице и проветривать чаще, зеркало в номере подойдет только для людей 170+, всем ниже - максимум расчесать макушку, остальньное было ок",5.4,10.0,apartment-sunlit.uk.html,"немає бажання потрапити туди знову, потрапили через безвихідь",сніданок не можна замовити заздалегідь (,"краще перевіряти стан номера, сливи, залишки речей з минулих відвідувачів, не закривати на ніч двері біля сходів, додати зв & #39; язок з ресепшені крім моб телефону, поставити ручки на вікна на сходах і провітрювати частіше, дзеркало в номері підійде тільки для людей 170 +, всім нижче - максимум розчесати верхівку, остальное було ок"
493,"+ расположен недалеко от жд вокзала
","+ расположен недалеко от жд вокзала
+ рядом продуктовый магазин
+ 15-20 минут пешком до центра
+ просторный номер
+ есть посуда, чайник, холодильник, фен
+ вкусные завтраки в кафе отеля
+ наличие одноразовых тапочек, мыла, шампуня
+ отзывчивый персонал","- в одной из комнат не было шторы на окне
- немного слышно звуки жд вокзала, но мы были уставшие и нам это совсем не мешало",8.8,10.0,apartment-sunlit.uk.html,+ Розташований недалеко від залізничного вокзалу,"+ Розташований недалеко від залізничного вокзалу + поруч продуктовий магазин + 15-20 хвилин пішки до центру + просторий номер + є посуд, чайник, холодильник, фен + смачні сніданки в кафе готелю + наявність одноразових капців, мила, шампуню + чуйний персонал","- в одній з кімнат не було штори на вікні - трохи чутно звуки залізничного вокзалу, але ми були втомлені і нам це зовсім не заважало"
494,"Очень приятный, доброжелательный, приветливый персонал.","Очень приятный, доброжелательный, приветливый персонал. Чистота в комнате и в санузле, наличие горячей воды, одноразовых тапок, шампуня и мыла. Кафе на первом этаже. И завтрак который входит в стоимость. Близкое расположение к ЖД и авто вокзалу и в пешей доступности центр города.","Расположение комнаты на 4м этаже, один санузел на 10 мест, отсутствие возможности приготовить чай, кофе самостоятельно.",9.2,10.0,apartment-sunlit.uk.html,"Дуже приємний, доброзичливий, привітний персонал.","Дуже приємний, доброзичливий, привітний персонал. Чистота в кімнаті і в санвузлі, наявність гарячої води, одноразових тапочок, шампуню і мила. Кафе на першому поверсі. І сніданок який входить у вартість. Близьке розташування до залізничного вокзалу і авто вокзалу і в пішої доступності центр міста.","Розташування кімнати на 4м поверсі, один санвузол на 10 місць, відсутність можливості приготувати чай, каву самостійно."
495,Отличный подход к клиентам и вежливый персонал!!!,"Приехал в город в 7:30, а поселение в гостиницу с 13:00. Пошел к ним попросить оставить вещи в камере хранения, а получилось заселиться, и без доплаты) Спасибо за прием! Омлет на завтрак и кофе - очень вкусно)))",,10.0,10.0,apartment-sunlit.uk.html,Відмінний підхід до клієнтів і ввічливий персонал !!!,"Приїхав в місто о 7:30, а поселення в готель з 13:00. Пішов до них попросити залишити речі в камері схову, а вийшло заселитися, і без доплати) Дякую за прийом! Омлет на сніданок і каву - дуже смачно)))",Nan
496,Всё понравилось,"Удобное размещение возле вокзала, приветливый персонал, отлично работал wi-fi, обстановка как в частном доме, вкусные завтраки и маленькие цены на другую еду",Не хватало тумбочек возле кровати,9.2,10.0,apartment-sunlit.uk.html,Все сподобалося,"Зручне розташування біля вокзалу, привітний персонал, відмінно працював wi-fi, обстановка як в приватному будинку, смачні сніданки і маленькі ціни на іншу їжу",Не вистачало тумбочці біля ліжка
497,Очень добрый и приветливый персонал.,"Очень добрый и приветливый персонал. В стоимость одной ночи входит завтрак, хочу отметить, что завтрак очень вкусный. Комната чистая и уютная, ванная комната большая и чистая, пол с подогревом, что очень порадовало. Местоположение шикарное, несмотря на то, что очень близко с ЖД и автовокзалом, в комнате тихо.  Рекомендую!!! 10 из 10",,10.0,10.0,apartment-sunlit.uk.html,Дуже добрий і привітний персонал.,"Дуже добрий і привітний персонал. У вартість однієї ночі входить сніданок, хочу зазначити, що сніданок дуже смачний. Кімната чиста і затишна, ванна кімната велика і чиста, підлога з підігрівом, що дуже порадувало. Місцезнаходження шикарне, незважаючи на те, що дуже близько з залізничного вокзалу і автовокзалом, в кімнаті тихо. Рекомендую !!! 10 з 10",Nan
498,2-4 января 2019,"Понравился стандарт номер. Тепло, чисто. Были с ребенком 6 лет...удобно.
В стоимость проживания включены завтраки. Вкусно и сытно.
Отдельное спасибо за холодное разливное пиво!","Были в трех номерах, два стандарта и один полулюкс. Полулюкс не понравился. На кухне из техники только холодильник и чайник (холодильники были и в стандарте).. Нет мягкого уголка или дивана, что характерно полулюксам. В душевой запах застоялой воды. Крышка на унитазе сломана. Полулюкс однозначно не рекомендую!",7.9,10.0,apartment-sunlit.uk.html,2-4 січня 2019,"Сподобався стандарт номер. Тепло, чисто. Були з дитиною 6 років ... зручно. У вартість проживання включено сніданки. Смачно і ситно. Окреме спасибі за холодну розливне пиво!","Були в трьох номерах, два стандарти і один напівлюкс . напівлюкс не сподобався . На кухні з техніки тільки холодильник і чайник (холодильники були і в стандарті).. Ні м & #39; якого куточка або дивана, що характерно напівлюкс . У душовій запах настояного води . Кришка на унітазі зламана . напівлюкс однозначно не рекомендую!"
499,"Отель очень даже не плохой, в номерах чисто и комфортно,...","Отель очень даже не плохой, в номерах чисто и комфортно, персонал доброжелательный, особенное спасибо ночному администратору за её открытость и отзывчивость, девочке на баре за хорошее обслуживание, а повару за вкусную еду. Всё отлично, Новый год прошел на Ура!",,10.0,10.0,apartment-sunlit.uk.html,"Готель дуже навіть не поганий, в номерах чисто і комфортно, ...","Готель дуже навіть не поганий, в номерах чисто і комфортно, персонал доброзичливий, особливе спасибі нічному адміністратору за її відкритість і чуйність, дівчинці на барі за гарне обслуговування, а кухарю за смачну їжу. Все відмінно, Новий рік пройшов на Ура!",Nan
500,"Очень вкусная и по очень умеренным ценам еда, восхитительные...","Очень вкусная и по очень умеренным ценам еда, восхитительные круасаны, приветливые сотрудники, велкам вода",Чашки были не сильно чистыми и дверь в туалет плохо открывалась,9.2,10.0,apartment-sunlit.uk.html,"Дуже смачна і за дуже помірними цінами їжа, чудові ...","Дуже смачна і за дуже помірними цінами їжа, чудові круасани, привітні співробітники, Велке вода",Чашки були не сильно чистими і двері в туалет погано відкривалася
501,"А завтраки, просто нет слов! Бомба","Абсолютно все. Номера просто отличные, персонал вежлевый) Нас было 13 человек, одни взрослый и 12 детей. Все было изумительно, дети в восторге) Комнат просторные. Спасибо огромное за терпение и з сервис!",,10.0,10.0,apartment-sunlit.uk.html,"А сніданки, просто немає слів! бомба","Абсолютно всі . Номери просто відмінні, персонал селевий) Нас було 13 чоловік, одні дорослий і 12 дітей . Все було дивовижно, діти в захваті) кімнат просторі . Спасибі величезне за терпіння і з сервіс!",Nan
502,"Не советую данный отель, и кажется меня обманули",Мне понравилось наличие ужина,"Носью проснулся от какого-то шума, как будто мебель двигали, сильно было слышно шаги, и ещё попросил позднее выселение договорился в 15:00 сумма 200 грн, на следующий день мне говорят это старые цены и надо 400, ужас за 3 часа, при чем номер был свободен",3.8,10.0,apartment-sunlit.uk.html,"Не раджу цей готель, і здається мене обдурили",Мені сподобалося наявність вечері,"ночью прокинувся від якогось шуму, як ніби меблі рухали, сильно було чутно кроки, і ще попросив пізніше виселення домовився о 15 : 00 сума 200 грн, на наступний день мені кажуть це старі ціни і треба 400, жах за 3 години, при ніж номер був вільний"
503,"В целом жить можно, но цена завышена","Оригинальное освещение номера, есть парковка, отзывчивый персонал, недалеко от номера место для курения на балконе.","Чуть не придавило сушилкой для полотенец - наполовину вырвана из стены.  Отопление номера включается после 18:00. Даже после включения, ситуация особо не поменялась. Т.к было поздно, а на рецепшене ~10 пьяных человек(Друзья сотрудника отеля), смотрели бокс, мне пришлось самому лезть в кладовку регулировать газовый котёл, благо сотрудница забыла ключ в дверях кладовки когда включала отопление.  Смог уснуть только после завершения боя, поздно ночью, когда ""болельщики"" разошлись.",5.8,10.0,apartment-sunlit.uk.html,"В цілому жити можна, але ціна завищена","Оригінальне освітлення номера, є парковка, чуйний персонал, недалеко від номера місце для куріння на балконі.","Мало не придавило сушарки для рушників - наполовину вирвана зі стіни . Опалення номера включається після 18 : 00 . Навіть після включення, ситуація особливо не змінилася . Т . к було пізно, а на ресепшені ~ 10 п & #39; яних осіб (Друзі співробітника готелю), дивилися бокс, мені довелося самому лізти в комору регулювати газовий котел, благо співробітниця забула ключ у дверях комори коли включала опалення . Смог заснути тільки після завершення бою, пізно вночі, коли & quota; вболівальники & quota; розійшлися."
504,Цены в Системе бронирования отелей онлайн Booking.,,"Цены в Системе бронирования отелей онлайн Booking.com на данный отель выше чем на стойке резервации и выше, как оказалось, на сайте самого отеля. девушка на ресепшене такую разницу объяснила тем, что сайт Booking.com накручивает к их стоимости свою комиссию.. Это очень странно. Завтрак включенный в стоимость, отель может предоставить только с 8 утра.. и не ранее. Это не то что не удобно, не логично... Договориться заранее, чтобы нам приготовили ланч-боксы вместо завтрака, и мы смогли их забрать при отъезде невозможно.  Т.е. мы заплатили за услуги, которыми не воспользовались... Это жмотство. И обман, касательно завышенных цен, и отказа не учитывать стоимость завтрака, если мы не можем им воспользоваться, в общую стоимость проживания. Плюс заплатили сверх цены на Booking.com какой-то сбор, в размере 46 грн. Что это за сбор, и почему именно такая сумма, нам вразумительно так и не объяснили... И всевозможные другие ограничения при проживании в отеле... Не советую данный отель.",4.6,10.0,apartment-sunlit.uk.html,Ціни в Системі бронювання готелів онлайн Booking.,Nan,"Ціни в Системі бронювання готелів онлайн Booking . com на цей готель вище ніж на стійці резервації і вище, як виявилося, на сайті самого готелю . дівчина на ресепшені таку різницю пояснила тим, що сайт Booking . com накручує до їх вартості свою комісію .. Це дуже дивно . Сніданок включений у вартість, готель може надати тільки з 8 ранку .. і не раніше . Це не те що не зручно, не логічно...Домовитися заздалегідь, щоб нам приготували ланч - бокси замість сніданку, і ми змогли їх забрати при від & #39; їзді неможливо . Тобто ми заплатили за послуги, якими не скористалися...Це детство . І обман, щодо завищених цін, і відмови не враховувати вартість сніданку, якщо ми не можемо ним скористатися, в загальну вартість проживання . Плюс заплатили понад ціну на Booking . com якийсь збір, в розмірі 46 грн . Що це за збір, і чому саме така сума, нам зрозуміло так і не пояснили...І всілякі інші обмеження при проживанні в готелі...Не раджу цей готель."
505,Персонал всегда улыбается.,"Персонал всегда улыбается. Не смотря на близость к проезжей и ж/д дороге, в отеле чисто и не слышно транспорт.","В номере не было туалетной бумаги. Диван раскладной - был в одном месте продавленный, в другом очень жесткий.",7.5,10.0,apartment-sunlit.uk.html,Персонал завжди посміхається.,"Персонал завжди посміхається. Не дивлячись на близькість до проїжджої і ж / д дорозі, в готелі чисто і не чути транспорт.","У номері не було туалетного паперу . Диван розкладний - був в одному місці подавлений, в іншому дуже жорсткий."
506,Чистота(горничная - умница).,"Чистота(горничная - умница).Очень большой,красивый и комфортный номер.Шикарная ванная комната.Белое постельное сатиновое белье хорошего качества,есть наматрасник. 
Присутсвует все необходимое для гигиены.Брендированные полотенца,подушки и т.д.Комфортная кровать.","Персонал в кафе.В стоимость проживания входят завтраки(на выбор:яичница,блины,сырники и что-то ещё,не помню).
Утром,когда пришли завтракать, бармен нам сказала,что можно только яичницу или блины,больше ничего нет.
Ну ладно,заказали яичницу,но понимаем,что не наедимся,т.к.ели последний раз вчера в обед.И спрашиваем:""а можно сырников дополнительно три порции?мы оплатим"". 
И бармен.......бинго.......говорит:""так,авжеж"".
Блин,ну денег нам не жалко,просто где логика?В бесплатных завтраках отказать, а потом тем же людям продать?????
В итоге нам принесли яичницу,мы ее съели,а наш спутник еще 40 минут ждал свою порцию блинов,и не по вине кухни!-просто бармен пошла убирать столы,не закончив выносить заказы.(их нужно убирать рано утром,как только пришла на работу)
Через 30 минут уже сама администратор вышла на улицу и сказала,что давно все готово.Бармен ушла и еще 10 мин не было ни ее ни заказа.
Заказ принимает СИДЯ за стойкой.Пепельница вся в бычках,видимо,со вчерашнего вечера. Грязный стол на улице вытирали сами влажными салфетками(завтраки с 09.00,можно было спокойно подготовить столы к приходу гостей).Короче говоря-персонал кафе на полной расслабухе.
Извините,не удержалась от отзыва. Работаю в гостинично-развлекательном бизнесе,и  не возможно  смотреть на такие банальные ошибки персонала.Ресторан-лицо отеля.
P.S. Повару спасибо-очень вкусно",8.8,10.0,apartment-sunlit.uk.html,Чистота (покоївка - розумниця).,"Чистота (покоївка - розумниця) Дуже великий, красивий і комфортний номер . лікарня ванна комната . Белое постільна платинову білизну хорошої якості, є Матрацники . Присутнє все необхідне для гігієни . брендованих рушники, подушки і т . д . комфортна ліжко.","Персонал в кафе . В вартість проживання входять сніданки (на вибір: яєчня, млинці, сирники і щось ще, не пам & #39; ятаю). Вранці, коли прийшли снідати, бармен нам сказала, що можна тільки яєчню або млинці, більше нічого немає . Ну ладно, замовили яєчню, але розуміємо, що ні наїмся, т . к . Елі останній раз учора в обед . І запитуємо: & quota; а можна сирників додатково три порції? Ми оплатимо & quota; . І бармен ....... бінго ....... каже: & quota; так, авжеж & quota; . Блін, ну грошей нам не шкода, просто де логіка? В безкоштовних сніданках відмовити, а потім тим же людям продати????? У підсумку нам принесли яєчню, ми її з & #39; їли, а наш супутник ще 40 хвилин чекав свою порцію млинців, і не з вини кухні! - Просто бармен пішла прибирати столи, не закінчивши виносити замовлення . (Їх потрібно прибирати рано вранці, як тільки прийшла на роботу) Через 30 хвилин вже сама адміністратор вийшла на вулицю і сказала, що давно все готово . Бармен пішла і ще 10 хв не було ні її ні замовлення . Замовлення приймає сидячи за Стойко . пекельні вся в бичків, мабуть, з учорашнього вечора . Брудний стіл на вулиці витирали самі вологими серветками (сніданки з 09.00, можна було спокійно підготувати столи до приходу гостей) Коротше кажучи - персонал кафе на повній Балабухи . Вибачте, не втрималася від відкликання . Працюю в готельно- - розважальному бізнесі, і не можливо дивитися на такі банальні помилки персонала . Ресторан - особа готелю . PS кухареві спасибі - дуже смачно"
