title_ru,pos_text_ru,neg_text_ru,ratingValue,bestRating,hotel,title,pos_text,neg_text
Цена.,Цена. Место располажения. Приветливый персонал. Большие номера.,Грязновато. Шум с улицы немножко мешает уснуть.,7.9,10.0,u-anity.uk.html,Ціна.,Ціна . Місце расположения . привітний персонал . Великі номери.,Брудно. Шум з вулиці трошки заважає заснути.
отлично за эту цену!,отлично за эту цену!,,8.8,10.0,u-anity.uk.html,відмінно за цю ціну!,відмінно за цю ціну!,Nan
1) 3 мин.,"1) 3 мин. пешком от центра 2) Чисто, комфортно, тепло 3) Вкусные завтраки 4) Вежливый, отзывчивый, культурный персонал",,10.0,10.0,u-anity.uk.html,1) 3 хв.,"1) 3 хв. пішки від центру 2) Чисто, комфортно, тепло 3) Смачні сніданки 4) Важливий, чуйний, культурний персонал",Nan
"Понравилось все - тепло и чисто в номере, закрытая парковка,...","Понравилось все - тепло и чисто в номере, закрытая парковка, вкусный завтрак",,10.0,10.0,u-anity.uk.html,"Сподобалося все - тепло і чисто в номері, закрита парковка, ...","Сподобалося все - тепло і чисто в номері, закрита парковка, смачний сніданок",Nan
Размещение готеля,Размещение готеля,Ничего,8.8,10.0,u-anity.uk.html,Розміщення готеля,Розміщення готеля,нічого
"Просторный номер, дружелюбный персонал, вкусный завтрак","Просторный номер, дружелюбный персонал, вкусный завтрак","Номер не очень чистый, пятна на ковролине",7.9,10.0,u-anity.uk.html,"Просторий номер, доброзичливий персонал, смачний сніданок","Просторий номер, доброзичливий персонал, смачний сніданок","Номер не дуже чистий, плями на ковролін"
"Близко от центра, вкусная кухня, приветливый персонал","Близко от центра, вкусная кухня, приветливый персонал",,9.6,10.0,u-anity.uk.html,"Близько від центру, смачна кухня, привітний персонал","Близько від центру, смачна кухня, привітний персонал",Nan
"Проблема с холодной и горячей водой, в душе помыться...",,"Проблема с холодной и горячей водой, в душе помыться проблема. Звонил 3 раза ругался, пока не включили воду",6.7,10.0,u-anity.uk.html,"Проблема з холодною і гарячою водою, в душі помитися ...",Nan,"Проблема з холодною і гарячою водою, в душі помитися проблема. Дзвонив 3 рази лаявся, поки не включили воду"
Просторный номер и территория.,Просторный номер и территория.Не шумно.,В ресторане кофе такой что второй раз лучше не заказывать,7.5,10.0,u-anity.uk.html,Просторий номер і територія.,Просторий номер і теріторіях . Не шумно.,У ресторані кави такий що вдруге краще не замовляти
"Хороший ресторан, вкусно и недорого","Хороший ресторан, вкусно и недорого","Вонючий ковролин в номерах, весь в пятнах, давно пора менять",5.4,10.0,u-anity.uk.html,"Хороший ресторан, смачно і недорого","Хороший ресторан, смачно і недорого","Смердючий ковролін в номерах, весь в плямах, давно пора міняти"
Приветливый персонал ,Приветливый персонал Общая чистота номера,Отсутствие одноразовых тапочек Грязные пятна на ковролине,8.5,10.0,u-anity.uk.html,привітний персонал,Привітний персонал Загальна чистота номера,Відсутність одноразових капців Брудні плями на ковролін
Очень уютный отель!,"Очень уютный отель!!! Новый ремонт, мебель. Чисто, завтраки вкусные . Рекомендую !!!!!",,10.0,10.0,u-anity.uk.html,Дуже затишний готель!,"Дуже затишний готель !!! Новий ремонт, меблі. Чисто, сніданки смачні. Рекомендую !!!!!",Nan
большая ванна и бесплатные вкусные завтраки,большая ванна и бесплатные вкусные завтраки,,10.0,10.0,u-anity.uk.html,велика ванна і безкоштовні смачні сніданки,велика ванна і безкоштовні смачні сніданки,Nan
Отличный wif-fi ,Отличный wif-fi Приветливый прсонал,Заезд с 13.00,10.0,10.0,u-anity.uk.html,Відмінний Wife - fi,Відмінний Wife - fi привітний персонал,Заїзд з 13.00
как для одной ночи то все отлично,как для одной ночи то все отлично,нет разовых шампуней,9.2,10.0,u-anity.uk.html,як для однієї ночі то все відмінно,як для однієї ночі то все відмінно,немає разових шампунів
"Удобное расположение (не далеко от старого города), вкусная...","Удобное расположение (не далеко от старого города), вкусная еда, отличный персонал:)",,10.0,10.0,u-anity.uk.html,"Зручне розташування (недалеко від старого міста), смачна ...","Зручне розташування (недалеко від старого міста), смачна їжа, відмінний персонал :)",Nan
"Номер просто огромный ,  удачное месторасположение отеля","Номер просто огромный ,  удачное месторасположение отеля",,7.9,10.0,u-anity.uk.html,"Номер просто величезний, вдале місце розташування готелю","Номер просто величезний, вдале місце розташування готелю",Nan
Великолепный персонал.,Великолепный персонал.,"Нет косметики в ванной,не всегда была горячая вода.",9.2,10.0,u-anity.uk.html,Чудовий персонал.,Чудовий персонал.,"Ні косметики у ванній, не завжди була гаряча вода."
"Отличное расположение, приветливий    персонал, просторние...","Отличное расположение, приветливий    персонал, просторние номера, отличное соотношение цена/качество","Некоторий шум от дороги, неустойчивий wifi",9.2,10.0,u-anity.uk.html,"Відмінне розташування, привітний персонал, просторий ...","Відмінне розташування, привітний персонал, просторий номер, відмінне співвідношення ціна / якість","Деякі шум від дороги, нестійкість WiFi"
"Очень понравилась гостиница, жаль, что нужно было...","Очень понравилась гостиница, жаль, что нужно было остановиться всего на одну ночь.",,9.6,10.0,u-anity.uk.html,"Дуже сподобалася готель, шкода, що потрібно було ...","Дуже сподобалася готель, шкода, що потрібно було зупинитися всього на одну ніч.",Nan
"Отель у дороги, шум мешает спать",,"Отель у дороги, шум мешает спать",7.9,10.0,u-anity.uk.html,"Готель у дороги, шум заважає спати",Nan,"Готель у дороги, шум заважає спати"
Спокойная домашняя обстановка.,"Спокойная домашняя обстановка. Нас встретил замечательный персонал. Радует то, что улыбки у ребят искренние. Спасибо за прекрасный отдых.",,9.6,10.0,u-anity.uk.html,Спокійна домашня обстановка.,"Спокійна домашня обстановка. Нас зустрів чудовий персонал. Радує те, що усмішки у хлопців щирі. Дякую за прекрасний відпочинок.",Nan
"Отличное месторасположение, приветливый персонал, нормальные...","Отличное месторасположение, приветливый персонал, нормальные цены.",В номере нет фена.,8.3,10.0,u-anity.uk.html,"Відмінне місце розташування, привітний персонал, нормальні ...","Відмінне місце розташування, привітний персонал, нормальні ціни.",У номері немає фена.
"Чистота,большие номера","Чистота,большие номера","Не нашли ночью как включить батареи или кондициионер-днем было очень тепло, а вот ночью хотелось бы теплее",9.2,10.0,u-anity.uk.html,"Чистота, великі номери","Чистота, великі номери","Чи не знайшли вночі як включити батареї або кондиціонер - днем було дуже тепло, а ось вночі хотілося б тепліше"
Практично все,Практично все,Нічого,8.3,10.0,u-anity.uk.html,практично всі,практично всі,Нічого
Хороший отель.,Хороший отель. Внимательный персонал. Хорошая звукоизоляция! Очень вкусные завтраки! С удовольствием остановимся снова!,,8.8,10.0,u-anity.uk.html,Хороший готель.,Хороший готель. Уважний персонал. Хороша звукоізоляція! Дуже смачні сніданки! Із задоволенням зупинимося знову!,Nan
"Отличный номер, вкусный завтрак.","Отличный номер, вкусный завтрак.",,9.6,10.0,u-anity.uk.html,"Відмінний номер, смачний сніданок.","Відмінний номер, смачний сніданок.",Nan
навозные мухи в номере,,навозные мухи в номере,9.6,10.0,u-anity.uk.html,Гнойовий мухи в номері,Nan,Гнойовий мухи в номері
Постель чистая и уютная (очень ценю в отелях).,Постель чистая и уютная (очень ценю в отелях).,"Гардина в 6 номере - это просто какой то ужас, в пятнах таких, я такого давно не встречала , неужели её сложно заменить?! Ночевали две ночи,в номер ни разу не зашли даже мусор забрать, пришлось пакет с мусором завязать и выставить на балкон чтоб он не вонял в туалете. Много паутины по номеру.Мало розеток. Нет чайника, нет фена.Сравниваю с отелем другим в этой стоимости в Ровно. С завтраком у нас не сложилось.Завтрак указан с 8 до 10 утра . Мы с вечера предупредили что нам нужно очень быстро позавтракать прям первыми, так как мы приехали на соревнования и утром нужно было быть в зале. Мало того что они  повара не предупредили, ещё и повар опоздала. Время шло на минуты. Блины были не плохие, но они не жарят свежие ,а с холодильника берут уже ранее пожаренные.Яичница с беконом просто подгоревшая ,требовать чтоб пережарили уже не было времени(фото яичницы прилагаю) Вообщем одним словом впечатление осталось не очень. Если б было дешевле гораздо, то вообще нечего , но в свою стоимость недотягивают катастрофически.",6.3,10.0,argo-uzhgorod-hotel.uk.html,Постіль чиста і затишна (дуже ціную в готелях).,Постіль чиста і затишна (дуже ціную в готелях).,"Гардінга в 6 номері - це просто якийсь жах, в плямах таких, я такого давно не зустрічала, невже її складно замінити?! Ночували дві ночі, в номер ні разу не зайшли навіть сміття забрати, довелося пакет зі сміттям зав & #39; язати і виставити на балкон щоб він не смердів в туалеті . Багато павутини по номеру . Мало розеток . Немає чайника, немає фена . сравнивать з готелем іншим в цій вартості в Рівному . З сніданком у нас не сложилось . завтрак вказано з 8 до 10 ранку . Ми з вечора попередили що нам потрібно дуже швидко поснідати прям першими, так як ми приїхали на змагання і вранці потрібно було бути в залі . Мало того що вони кухарі не попередили, ще й кухар запізнилася . Час минав на хвилини . Млинці були не погані, але вони не смажать свіжі, а з холодильника беруть вже раніше підмаренник . Ніца з беконом просто Підгорівка, вимагати щоб пережили вже не було часу (фото яєчні додаю) вообще одним словом враження залишилося не дуже . Якщо б було дешевше набагато, то взагалі нічого, але в свою вартість не дотягують катастрофічно."
"Месторасположение, приветливый хороший персонал.","Месторасположение, приветливый хороший персонал.","Цены не сосвсем соответствуют ожиданию. Номера дороже чем в одессе, но при этом нет тапочек, шампуни за символические 1грн, отсутствует фен в номере.",7.9,10.0,argo-uzhgorod-hotel.uk.html,"Місцезнаходження, привітний хороший персонал.","Місцезнаходження, привітний хороший персонал.","Ціни не совсем відповідають очікуванню . Номери дорожче ніж в Одесі, але при цьому немає капців, шампуні за символічні 1 грн, відсутня фен в номері."
"Замечательный номер, удобный, чистый, просторный","Замечательный номер, удобный, чистый, просторный","Расположение. Далеко от центра. Если вы высокого роста, то просите номер на первом или втором этажах. На третьем этаже скошенные потолки",9.2,10.0,argo-uzhgorod-hotel.uk.html,"Чудовий номер, зручний, чистий, просторий","Чудовий номер, зручний, чистий, просторий","Розташування. Далеко від центру. Якщо ви високого зросту, то просіть номер на першому або другому поверхах. На третьому поверсі скошені стелі"
Жили в полулюксе.,,"Жили в полулюксе. Ну никак не соответствует уровню. Сантехника (душевая кабина) в печальном состоянии, дизайн номера - привет 90-е, а фен нужно брать на рецепшене...",2.5,10.0,argo-uzhgorod-hotel.uk.html,Жили в напівлюкс.,Nan,"Жили в напівлюкс . Ну ніяк не відповідає рівню . Сантехніка (душова кабіна) в сумному стані, дизайн номера - привіт 90-е, а фен потрібно брати на ресепшені ..."
Заведите бильярд.,"Очень хороший отель всем для проживания. Приятно удивила чистота.  Отличный персонал.  Прекрасная кухня, хороший выбор.  Чистая постель, опрятгая.  Удобно в центре города.  Персоналу большое спасибо, отличный коллектив.","Один минус, но не отеля а дороги рядом много пыли которую нужно убрать. Но так по всему городу,  Совет менять мера города)))) Берите пример с Малого города Гуменне в Словакии)))",10.0,10.0,argo-uzhgorod-hotel.uk.html,Заведіть більярд.,"Дуже хороший готель всім для проживання . Приємно здивувала чистота . Відмінний персонал . Прекрасна кухня, хороший вибір . Чиста постіль, прямая . Зручно в центрі міста . Персоналу велике спасибі, відмінний колектив.","Один мінус, але не готелю а дороги поруч багато пилу яку потрібно прибрати. Але так по всьому місту, Рада міняти мера міста)))) Беріть приклад з Малого міста Гуменне в Словаччині)))"
Отель в центре.,Отель в центре.,"Уже б пора подремонтироваться в номерах чуть чуть. У нас в семейном был жуткий запах в ванной комнате, пока не поработала вытяжка минут 40.",7.5,10.0,argo-uzhgorod-hotel.uk.html,Готель в центрі.,Готель в центрі.,"Уже б пора підремонтувати в номерах чуть чуть . У нас в сімейному був страшний запах у ванній кімнаті, поки не попрацювала витяжка хвилин 40."
"В целом неплохо, но в номерах необходимо сделать ремонт, а в полулюксе положить фен","Достаточно милый отель, в улучшенном номере есть кондиционер, неплохой завтрак, персонал приветливый, достаточно тихо","Номер полулюкс не соответствует заявленному, очень пошарпанный: пол, обивка, покрывала, балкон, душевая кабинка. Очень низкий потолок в части номера. Просить фен приходится на ресепшн, и не всегда он там есть",5.8,10.0,argo-uzhgorod-hotel.uk.html,"В цілому непогано, але в номерах необхідно зробити ремонт, а в напівлюкс покласти фен","Досить милий готель, в покращеному номері є кондиціонер, непоганий сніданок, персонал привітний, досить тихо","Номер напівлюкс не відповідає заявленому, дуже пошарпали: стать, оббивка, покривала, балкон, душова кабінка. Дуже низька стеля в частині номера. Просити фен доводиться на ресепшн, і не завжди він там є"
"Хороший вариант, где можно остановиться, чтобы пересечь границу.","Очень добродушный персонал.  Хотя готель небольшой, есть свой ресторанчик, где есть разнообразное меню, а самое главное всё вкусное. Чистые номера. Хороший wi-fi. Свой охраняемый паркинг. Если нужно рано выехать с гостиницы, предоставят паёк.","Цена проживания, завышена.",9.6,10.0,argo-uzhgorod-hotel.uk.html,"Хороший варіант, де можна зупинитися, щоб перетнути кордон.","Дуже добродушний персонал. Хоча готель невеликий, є свій ресторанчик, де є різноманітне меню, а найголовніше все смачне. Чисті номера. Хороший wi-fi. Свій паркінг. Якщо потрібно рано виїхати з готелю, нададуть пайок.","Ціна проживання, завищена."
Поужинать не получилось т.,,"Поужинать не получилось т.к. кухня работает до 20:00... это очень плохо. В номерах пора делать косметический ремонт, в душевой кабине слив забит, вода не уходит. Завтрак нормальный. Персонал, девочки, грустные, не приветливые. Больше здесь не буду останавливаться.",5.0,10.0,argo-uzhgorod-hotel.uk.html,Повечеряти не вийшло т.,Nan,"Повечеряти не вийшло тому кухня працює до 20:00 ... це дуже погано. У номерах пора робити косметичний ремонт, в душовій кабіні слив забитий, вода не йде. Сніданок нормальний. Персонал, дівчатка, сумні, чи не привітні. Більше тут не буду зупинятися."
обветшалый отель в ужгородском стиле,"Мы останавливались в этом отделе в мае прошлого года и привезли тогда более приятные впечатления. Отель неплохо расположен, между вокзалом и центром, стоит не все деньги мира. Мы брали самый большой номер, завтрак включен, есть выбор из 5 вариантов (блинчики или каша или яичница - такое, в общем). Можно взять несколько вариантов и доплатить за каждый 50 грн.","Отель ветшает, и, похоже ,никому до этого нет дела - от облупившейся вывески до дыр в постельном белье. Персонал на ресепшене как снежные королевы - делают посетителям одолжение. Я звонила за неделю, предупреждала, что буду вечером из-за прохождения таможни (ехала из Словакии), но мне буквально обрывали телефон в день приезда - я была в роуминге и получала только смс - просили подтвердить визит... Нервов натрепали, и даже не извинились.",5.0,10.0,argo-uzhgorod-hotel.uk.html,застарілий готель в ужгородському стилі,"Ми зупинялися в цьому відділі в травні минулого року і привезли тоді більш приємні враження. Готель непогано розташований, між вокзалом і центром, варто не всі гроші світу. Ми брали найбільший номер, сніданок включений, є вибір з 5 варіантів (млинці або каша або яєчня - таке, в загальному). Можна взяти кілька варіантів і доплатити за кожен 50 грн.","Готель старіє, і, схоже, нікому до цього немає діла - від облупленого вивіски до дірок в постільній білизні . Персонал на ресепшені як снігові королеви - роблять відвідувачам послугу . Я дзвонила за тиждень, попереджала, що буду ввечері через проходження митниці (їхала зі Словаччини), але мені буквально обривали телефон в день приїзду - я була в роумінгу і отримувала тільки смс - просили підтвердити візит...нервів Наталі, і навіть не вибачилися."
Вполне приличный вариант для отдыхающих с детьми и командировочных.,"Хороший отель за приемлемую плату. Завтрак разнообразный на выбор: овсяная каша, блинчики, яичница или омлет. Питательно и полезно. Большой, чистый номер, горячая вода, телевизор, кондиционер. При большом желании, можно отпуск провести в отеле:) На рецепции можно взять в номер чайник. Меню ресторана также разнообразное и недорогое. Для совсем экономных рядом круглосуточный супермаркет. Находится отель в новой части Ужгорода, поэтому каждый день прогуливались через реку. До исторического центра - 5 -10 мин пешком.","Нужно добавить распечатку с ассортиментом и ценами для минибара. За время отдыха в отеле не знала, что есть минибар:)",8.8,10.0,argo-uzhgorod-hotel.uk.html,Цілком пристойний варіант для відпочиваючих з дітьми і відрядних.,"Хороший готель за прийнятну плату. Сніданок різноманітний на вибір: вівсяна каша, млинці, яєчня або омлет. Поживно і корисно. Великий, чистий номер, гаряча вода, телевізор, кондиціонер. При великому бажанні, можна відпустку провести в готелі :) На рецепції можна взяти в номер чайник. Меню ресторану також різноманітне і недороге. Для зовсім економних поруч цілодобовий супермаркет. Знаходиться готель в новій частині Ужгорода, тому кожен день прогулювалися через річку. До історичного центру - 5 -10 хв пішки.","Потрібно додати роздруківку з асортиментом і цінами для министра . За час відпочинку в готелі не знала, що є міні-бар: )"
Номер порадовал,Цена. Состояние номера. Нормальный ресторан.,Хотелось бы что бы в ресторане подавалась закарпатская кухня. Далековато от центра и от туристических мест.,7.1,10.0,argo-uzhgorod-hotel.uk.html,номер порадував,Ціна. Стан номера. Нормальний ресторан.,Хотілося б що б в ресторані подавалася закарпатська кухня. Далеко від центру і від туристичних місць.
Останавливались в отеле второй раз. Даже номер достался тот же. За год ничего не поменялось.,"Своя мини-парковка под отелем. Неплохие завтраки. Чистый номер и санузел. Очень вкусная еда в ресторане отеля, при этом совсем недорого! До центра можно дойти пешком за 20 мин.",Диван как третье спальное место никуда не годится - он жесткий и продавленный в разных местах. Холодильник громко работает. :),8.3,10.0,argo-uzhgorod-hotel.uk.html,Зупинялися в готелі вдруге. Навіть номер дістався той же. За рік нічого не змінилося.,"Своя міні-парковка під готелем. Непогані сніданки. Чистий номер і санвузол. Дуже смачна їжа в ресторані готелю, при цьому зовсім недорого! До центру можна дійти пішки за 20 хв.",Диван як третє спальне місце нікуди не годиться - він жорсткий і подавлений в різних місцях . Холодильник голосно працює .: )
"Маленький уютный отель, хотя по фото номер представлялся...","Маленький уютный отель, хотя по фото номер представлялся больше. Все было чисто, кухня - вкусно.","Персоналу на кухне усовершенствовать меню таким образом, чтобы гостям не приходилось долго ждать приготовления и/или подачи блюд (особенно если их неоходимо только разогреть).",8.3,10.0,argo-uzhgorod-hotel.uk.html,"Маленький затишний готель, хоча по фото номер представлявся ...","Маленький затишний готель, хоча по фото номер представлявся більше. Все було чисто, кухня - смачно.","Персоналу на кухні вдосконалити меню таким чином, щоб гостям не доводилося довго чекати приготування і / або подачі страв (особливо якщо їх необходимо тільки розігріти)."
Останавливалась в отеле Арго уже не первый раз.,"Останавливалась в отеле Арго уже не первый раз. Все очень нравится! Расположение отличное - центр Ужгорода, бесплатная парковка для автомобиля,  завтраки вкусные, чистые и уютные номера! Персонал всегда очень приветлив! Рекомендую!",,10.0,10.0,argo-uzhgorod-hotel.uk.html,Зупинялася в готелі Арго вже не перший раз.,"Зупинялася в готелі Арго вже не перший раз. Все дуже подобається! Розташування відмінне - центр Ужгорода, безкоштовна парковка для автомобіля, сніданки смачні, чисті і затишні номери! Персонал завжди дуже привітний! Рекомендую!",Nan
Добавочную кровать необходимо сделать более комфортной. Больше претензий к отелю нет.,"Завтрак был вкусным,в номере было  тепло и чисто.",Добавочная кровать за 150 гривен имеет ужасный матрац. Очень твердый. Ребенок не смог на ней спать. Пришлось взять к себе на общую кровать и было не комфортно спать - никто не выспался...,6.7,10.0,argo-uzhgorod-hotel.uk.html,Додаткову ліжко необхідно зробити більш комфортною. Більше претензій до готелю немає.,"Сніданок був смачним, в номері було тепло і чисто.",Додаткова ліжко за 150 гривень має жахливий матрац. Дуже твердий. Дитина не зміг на ній спати. Довелося взяти до себе на загальну ліжко і було не комфортно спати - ніхто не виспався ...
"Дружелюбный персонал, номера очень чистые, комфортные,...","Дружелюбный персонал, номера очень чистые, комфортные, теплые, розеток достаточно, постельное новое и свежее, в ванной идеально чисто, в нашем номере было два балкона с урнами, на которых можно покурить :)  Из-за раннего отъезда нам сделали завтрак с собой ( на выбор, блинчики с творогом/джемом/бутерброды, сок/минералка), на первом этаже имеется кафе с очень вкусной и свежей едой. Остались очень хорошие впечатления, обязательно вернемся ещё :) Спасибо!",Все понравилось.,10.0,10.0,argo-uzhgorod-hotel.uk.html,"Доброзичливий персонал, номери дуже чисті, комфортні, ...","Доброзичливий персонал, номери дуже чисті, комфортні, теплі, розеток досить, постільна нове і свіже, у ванній ідеально чисто, в нашому номері було два балкона з урнами, на яких можна покурити :) Через ранній від&#39;їзду нам зробили сніданок з собою ( на вибір, млинці з сиром / джемом / бутерброди, сік / мінералка), на першому поверсі є кафе з дуже смачною і свіжою їжею. Залишилися дуже хороші враження, обов&#39;язково повернемося ще :) Дякую!",Все сподобалося.
"Из-за очереди на границе, приехал в Ужгород и заселился в...","Из-за очереди на границе, приехал в Ужгород и заселился в отель в 2 ночи. Перед этим ещё вечером на всякий случай перезвонил в отель и предупредил о возможном позднем приезде.  Дверь в отель была закрыта, но я постучал и мне тут же открыли, вручили ключи от номера, сказали пароль от вай-фая и пожелали спокойной ночи. Номер небольшой, но кровать для одного человека оказалась совсем немаленькой. В номере был телевизор, который не включал, холодильник с мини-баром, кондиционер.  Санузел чистый, несколько полотенец, парфюмерия.  Паркинг, по крайней мере я там парковался, прямо на тротуаре перед входом в отель. Завтрак с 8 до 10 утра. На выбор 4 набора: омлет, яичница, каша, блинчики/тосты с маслом/горячие напитки/сок или минералка.  Всё чисто, приятно, персонал приветливый.",Очень громко работал холодильник - пришлось на ночь вытянуть шнур из розетки.,7.5,10.0,argo-uzhgorod-hotel.uk.html,"Через черги на кордоні, приїхав в Ужгород і заселився в ...","Через черги на кордоні, приїхав в Ужгород і заселився в готель в 2 ночі . Перед цим ще ввечері на всякий випадок передзвонив в готель і попередив про можливе пізньому приїзд . Двері в готель була закрита, але я постукав і мені тут же відкрили, вручили ключі від номера, сказали пароль від вай - фа і побажали на добраніч . Номер невеликий, але ліжко для однієї людини виявилася зовсім маленькою . У номері був телевізор, який не включав, холодильник з міні - баром, кондиціонер . санвузол чистий, кілька рушників, парфумерія . Паркінг, принаймні я там паркуватися, прямо на тротуарі перед входом в готель . Сніданок з 8 до 10 ранку . На вибір 4 набори: омлет, яєчня, каша, млинці / тости з маслом / гарячі напої / сік або мінералка . Все чисто, приємно, персонал привітний.",Дуже голосно працював холодильник - довелося на ніч витягнути шнур з розетки.
Прекрасное расположение 5 минут на такси от ЖД вокзала и 10...,"Прекрасное расположение 5 минут на такси от ЖД вокзала и 10 мин пешком до центра города. Приятный персонал. Прекрасная домашняя кухня в кафе. Прибыли поздно, кафе уже закрывалось, но повар согласился задержаться и накормил нас домашними пельменями!!! Огромная благодарность всем работникам отеля и кафе!!!! Буду останавливаться в этом отеле и впредь.",Тусклый свет в помещениях.,10.0,10.0,argo-uzhgorod-hotel.uk.html,Прекрасне розташування 5 хвилин на таксі від залізничного вокзалу і 10 ...,"Прекрасне розташування 5 хвилин на таксі від залізничного вокзалу і 10 хв пішки до центру міста. Приємний персонал. Прекрасна домашня кухня в кафе. Прибутки пізно, кафе вже закривалося, але кухар погодився затриматися і нагодував нас домашніми пельменями !!! Величезна подяка всім працівникам готелю і кафе !!!! Буду зупинятися в цьому готелі і надалі.",Тьмяне світло в приміщеннях.
Отель на одну ночь,"Неплохое расположение недалеко от центра, наличие парковочного места, разрешается размещение с домашними животными","Угрюмый неприветливый персонал. Очень скудный завтрак - подгоревшая яичница или овсяная каша на выбор. Мы путешествовали с собачкой, в ресторан ее, естественно, не пустили, а летняя терраса работает только с 10 утра, пришлось запереть ее на время завтрака в машине.",5.4,10.0,argo-uzhgorod-hotel.uk.html,Готель на одну ніч,"Гарний настрій недалеко від центру, наявність паркувального місця, дозволяється розміщення з домашніми тваринами","Похмурий непривітний персонал . Дуже мізерний сніданок - Підгорівка яєчня або вівсяна каша на вибір . Ми подорожували з собачкою, в ресторан її, природно, не пустили, а літня тераса працює тільки з 10 ранку, довелося замкнути її на час сніданку в машині."
Отель становится все хуже и хуже.,,"Отель становится все хуже и хуже... Персонал не приветливый, за 2 дня ни одной улыбки. А и ещё))) они не продлили лицензию на алкоголь, так что это безалкогольный отель с мрачным персоналом",5.0,10.0,argo-uzhgorod-hotel.uk.html,Готель стає все гірше і гірше.,Nan,"Готель стає все гірше і гірше ... Персонал не привітний, за 2 дня жодної посмішки. А і ще))) вони не продовжили ліцензію на алкоголь, так що це безалкогольний готель з похмурим персоналом"
